company_name,industry
Company_1,Tech
Company_2,Tech
Company_3,Tech
Company_4,Finance
Company_5,Tech
Company_6,Healthcare
Company_7,Finance
Company_8,Healthcare
Company_9,Healthcare
Company_10,Finance
Company_11,Healthcare
Company_12,Tech
Company_13,Healthcare
Company_14,Tech
Company_15,Finance
Company_16,Tech
Company_17,Finance
Company_18,Healthcare
Company_19,Healthcare
Company_20,Tech
Company_21,Finance
Company_22,Tech
Company_23,Tech
Company_24,Healthcare
Company_25,Healthcare
Company_26,Tech
Company_27,Healthcare
Company_28,Healthcare
Company_29,Finance
Company_30,Healthcare
Company_31,Finance
Company_32,Finance
Company_33,Tech
Company_34,Tech
Company_35,Healthcare
Company_36,Finance
Company_37,Healthcare
Company_38,Healthcare
Company_39,Healthcare
Company_40,Tech
Company_41,Tech
Company_42,Tech
Company_43,Healthcare
Company_44,Healthcare
Company_45,Finance
Company_46,Tech
Company_47,Healthcare
Company_48,Healthcare
Company_49,Tech
Company_50,Healthcare
